gene_id,gene_symbol,pathway_id,pathway_name,degree
hsa:51171,HSD17B14,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),3
hsa:5207,PFKFB1,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),6
hsa:5208,PFKFB2,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),6
hsa:5209,PFKFB3,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),6
hsa:5210,PFKFB4; 6-phosphofructo-2-kinase/fructose-2,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),6
hsa:5211,PFKL,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),6
hsa:5213,PFKM,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),6
hsa:5214,PFKP,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),6
hsa:5372,PMM1,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),4
hsa:5373,PMM2,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),4
hsa:55556,ENOSF1,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),1
hsa:57016,AKR1B10,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),3
hsa:57103,TIGAR,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),6
hsa:6652,SORD,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),5
hsa:7167,TPI1,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),5
hsa:7264,GFUS,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),3
hsa:80201,HKDC1,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),13
hsa:8789,FBP2,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),6
hsa:8790,FPGT,path:hsa00051,Fructose and mannose metabolism - Homo sapiens (human),3
hsa:130589,GALM,path:hsa00052,Galactose metabolism - Homo sapiens (human),10
hsa:231,AKR1B1,path:hsa00052,Galactose metabolism - Homo sapiens (human),8
hsa:2538,G6PC1,path:hsa00052,Galactose metabolism - Homo sapiens (human),6
hsa:2548,GAA,path:hsa00052,Galactose metabolism - Homo sapiens (human),4
hsa:2582,GALE,path:hsa00052,Galactose metabolism - Homo sapiens (human),6
hsa:2584,GALK1,path:hsa00052,Galactose metabolism - Homo sapiens (human),4
hsa:2592,GALT; galactose-1-phosphate uridylyltransferase isoform 1,path:hsa00052,Galactose metabolism - Homo sapiens (human),8
hsa:2595,GANC; neutral alpha-glucosidase C isoform 1,path:hsa00052,Galactose metabolism - Homo sapiens (human),4
hsa:2645,GCK,path:hsa00052,Galactose metabolism - Homo sapiens (human),6
hsa:2683,B4GALT1,path:hsa00052,Galactose metabolism - Homo sapiens (human),5
hsa:2717,GLA,path:hsa00052,Galactose metabolism - Homo sapiens (human),34
hsa:2720,GLB1,path:hsa00052,Galactose metabolism - Homo sapiens (human),12
hsa:3098,HK1,path:hsa00052,Galactose metabolism - Homo sapiens (human),6
hsa:3099,HK2,path:hsa00052,Galactose metabolism - Homo sapiens (human),6
hsa:3101,HK3,path:hsa00052,Galactose metabolism - Homo sapiens (human),6
hsa:3906,LALBA,path:hsa00052,Galactose metabolism - Homo sapiens (human),5
hsa:3938,LCT,path:hsa00052,Galactose metabolism - Homo sapiens (human),12
hsa:441282,AKR1B15,path:hsa00052,Galactose metabolism - Homo sapiens (human),8
hsa:5211,PFKL,path:hsa00052,Galactose metabolism - Homo sapiens (human),1
hsa:5213,PFKM,path:hsa00052,Galactose metabolism - Homo sapiens (human),1
hsa:5214,PFKP,path:hsa00052,Galactose metabolism - Homo sapiens (human),1
hsa:5236,PGM1,path:hsa00052,Galactose metabolism - Homo sapiens (human),6
hsa:55276,PGM2,path:hsa00052,Galactose metabolism - Homo sapiens (human),6
hsa:57016,AKR1B10,path:hsa00052,Galactose metabolism - Homo sapiens (human),8
hsa:57818,G6PC2,path:hsa00052,Galactose metabolism - Homo sapiens (human),6
hsa:6476,SI; sucrase-isomaltase,path:hsa00052,Galactose metabolism - Homo sapiens (human),4
hsa:7360,UGP2,path:hsa00052,Galactose metabolism - Homo sapiens (human),6
hsa:80201,HKDC1,path:hsa00052,Galactose metabolism - Homo sapiens (human),6
hsa:8704,B4GALT2,path:hsa00052,Galactose metabolism - Homo sapiens (human),5
hsa:8972,MGAM,path:hsa00052,Galactose metabolism - Homo sapiens (human),4
hsa:92579,G6PC3,path:hsa00052,Galactose metabolism - Homo sapiens (human),6
hsa:93432,MGAM2; probable maltase-glucoamylase 2,path:hsa00052,Galactose metabolism - Homo sapiens (human),4
hsa:10327,AKR1A1,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),6
hsa:10720,UGT2B11; UDP-glucuronosyltransferase 2B11 precursor,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:10941,UGT2A1,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:217,ALDH2,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),1
hsa:219,ALDH1B1,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),1
