pathway,gene_symbol,entrez,tdc_idx,weight,matched_via
Estrogen,MPPED2,744,12787,3.91502173549,symbol
Estrogen,RBBP8,5932,19529,6.83400284824,symbol
Estrogen,TLE1,7088,10845,-4.10217257102,symbol
Estrogen,TMEM135,65084,13487,-3.50320154881,symbol
Estrogen,FRK,2444,8166,4.90037712333,symbol
Estrogen,ADCY9,115,17274,3.2478819979,symbol
Estrogen,EGR3,1960,9810,16.0776973153,symbol
Estrogen,TIAM1,7074,22078,4.47348368321,symbol
Estrogen,CASP9,842,238,-2.43538830188,symbol
Estrogen,CLDN9,9080,17235,-2.08481449153,symbol
Estrogen,WFS1,7466,5359,4.21639521035,symbol
Estrogen,SLC7A5,8140,18005,11.2240689529,symbol
Estrogen,PPIF,10105,11939,10.130802152,symbol
Estrogen,CLDN4,1364,8966,-3.82821711919,symbol
Estrogen,GATA3,2625,11512,-6.00468746718,symbol
Estrogen,RCL1,10171,10520,4.21924727177,symbol
Estrogen,PIK3R3,8503,720,-5.49749606658,symbol
Estrogen,SLC9A1,6548,434,-2.59442657319,symbol
Estrogen,SDK2,54549,19193,1.87704625885,symbol
Estrogen,TACC1,6867,9924,-3.37486737164,symbol
Estrogen,ATP2A3,489,18144,-2.88202583781,symbol
Estrogen,ESR1,2099,8378,-1.30445244618,symbol
Estrogen,KCNK5,8645,7776,4.65682787894,symbol
Estrogen,SGCG,6445,15127,-4.18181325248,symbol
Estrogen,STC2,8614,7147,10.2860517134,symbol
Hypoxia,PDK1,5163,3445,13.120449402558766,symbol
Hypoxia,ANKRD37,353322,6140,8.48497615199521,symbol
Hypoxia,FAM162A,26355,4711,8.33555155151556,symbol
Hypoxia,BNIP3L,665,9843,14.120302370563392,symbol
Hypoxia,ENO2,2026,13973,14.326939818224217,symbol
Hypoxia,ANKZF1,55139,3740,7.3581628655820355,symbol
Hypoxia,NDRG1,10397,10367,22.08711949313988,symbol
Hypoxia,INSIG2,51141,3191,13.562193843210398,symbol
Hypoxia,FUT11,170384,11904,11.170582164162454,symbol
Hypoxia,KDM3A,55818,2971,10.850752743976678,symbol
Hypoxia,PFKFB4,5210,4286,8.940270838819915,symbol
Hypoxia,GBE1,2632,4526,9.711499344287043,symbol
Hypoxia,EGLN1,54583,2251,9.594450021663096,symbol
Hypoxia,PGK1,5230,23291,9.993991393929369,symbol
Hypoxia,HILPDA,29923,9372,16.707123547646272,symbol
Hypoxia,PLOD2,5352,4906,13.600144008727044,symbol
Hypoxia,RLF,6018,623,7.070285475179907,symbol
Hypoxia,ALDOC,230,18487,13.161523644516665,symbol
Hypoxia,ERO1A,30001,15894,9.698198187800116,symbol
Hypoxia,BHLHE40,8553,3956,15.242359597309465,symbol
Hypoxia,ALDOA,226,17531,7.654678080881261,symbol
Hypoxia,BNIP3,664,12371,19.41797403956135,symbol
Hypoxia,GPI,2821,20457,8.549580220186382,symbol
Hypoxia,PLOD1,5351,193,6.610224848855331,symbol
Hypoxia,SLC2A1,6513,660,8.67915398023849,symbol
Hypoxia,KDM4B,23030,19939,3.6502093225821697,symbol
Hypoxia,ZNF395,55893,9862,8.060934043547565,symbol
Hypoxia,P4HA1,5033,11885,11.06765669269899,symbol
Hypoxia,PPFIA4,8497,1997,10.837614563420766,symbol
Hypoxia,EGLN3,112399,15800,11.655727921145276,symbol
Hypoxia,VLDLR,7436,10506,10.266334142486112,symbol
Hypoxia,VEGFA,7422,7857,10.612898925768754,symbol
Hypoxia,EFNA3,1944,1523,4.211740089377879,symbol
Hypoxia,PFKFB3,5209,11498,14.547192077328102,symbol
Hypoxia,MXI1,4601,12228,10.860921454642892,symbol
Hypoxia,WDR45B,56270,19408,4.504362332270949,symbol
Hypoxia,WSB1,26118,18464,7.024224347672526,symbol
Hypoxia,LDHA,3939,12737,7.653450321804332,symbol
Hypoxia,AK4,205,877,9.693023500676851,symbol
Hypoxia,NCKIPSD,51517,4294,2.336982502347681,symbol
Hypoxia,PGM1,5236,869,7.88583461642632,symbol
Hypoxia,SLC25A36,55186,4883,5.329043990266979,symbol
Hypoxia,YEATS2,55689,5107,5.353127516506888,symbol
Hypoxia,ANGPTL4,51129,20030,12.640690645582348,symbol
Hypoxia,TMEM45A,55076,4576,17.87680015652248,symbol
Hypoxia,NGLY1,55768,4096,3.5046086484829,symbol
Hypoxia,VKORC1,79001,17582,5.41943367385705,symbol
Hypoxia,SEC61G,23480,8868,4.741112933827921,symbol
Hypoxia,ENO1,2023,139,6.103862987397812,symbol
Hypoxia,C8orf58,541565,9806,3.1078714347082625,symbol
Hypoxia,CFAP96,441054,6142,6.053300922097778,alias
Hypoxia,MAPK7,5598,18433,2.63190452108407,symbol
Hypoxia,PDK3,5165,22953,4.399750738661217,symbol
Hypoxia,CA9,768,10689,13.961067838986262,symbol
Hypoxia,ZNF292,23036,8040,6.02393811187105,symbol
Hypoxia,GAPDH,2597,13948,5.046552543867155,symbol
Hypoxia,PFKP,5214,11467,9.233200905574463,symbol
Hypoxia,NRN1,51299,7314,6.727516861287743,symbol
Hypoxia,SPAG4,6676,21642,10.213071470614544,symbol
Hypoxia,RIOK3,8780,19532,3.730301284236218,symbol
Hypoxia,P4HA2,8974,6754,6.2803435571622455,symbol
Hypoxia,ARLN,401152,5888,7.437918887870261,alias
Hypoxia,ZNF160,90338,21110,2.713924225105919,symbol
Hypoxia,WDR54,84058,2895,5.695501641785151,symbol
Hypoxia,MPI,4351,16831,3.502165309241745,symbol
Hypoxia,CLK3,1198,16822,3.564013767080937,symbol
Hypoxia,PFKL,5211,22226,3.5446163885829014,symbol
Hypoxia,ADM,133,12673,17.825696141131807,symbol
Hypoxia,NOL3,8996,17779,3.9380295361169138,symbol
Hypoxia,DARS1,1615,3300,3.670815844180791,alias
Hypoxia,PKM,5315,16785,4.745179717324236,symbol
Hypoxia,PGAM1,5223,12097,6.378265135027698,symbol
Hypoxia,RAB20,55647,15561,4.256260325236859,symbol
Hypoxia,SAP30,8819,6086,2.905750987571088,symbol
Hypoxia,LOX,4015,6708,7.461207816237273,symbol
Hypoxia,RBPJ,3516,5452,3.851456745820723,symbol
Hypoxia,CRKL,1399,22373,2.554734213406757,symbol
Hypoxia,NARF,26502,19406,4.09514912532848,symbol
Hypoxia,FBXO42,54455,259,2.2572287329470258,symbol
Hypoxia,RORA,6095,16681,4.508771760265728,symbol
Hypoxia,GYS1,2997,20935,4.922863343877431,symbol
Hypoxia,RNF24,11237,21399,3.8530589421282513,symbol
Hypoxia,ZNF654,55279,4536,4.28806196320664,symbol
Hypoxia,PRSS53,339105,17581,1.9745062323810545,symbol
Hypoxia,FAM13A,10144,5761,5.094179820464756,symbol
Hypoxia,POP4,10775,20423,-2.314412633667518,symbol
Hypoxia,ZMPSTE24,10269,624,-4.392340277526979,symbol
Hypoxia,PPP2R5B,5526,13191,3.482583396179474,symbol
Hypoxia,PAM,5066,6638,6.2642963862461665,symbol
Hypoxia,ZBTB25,7597,15977,3.4190588078493094,symbol
Hypoxia,TMX2,51075,12997,-3.697944017575907,symbol
Hypoxia,FLAD1,80308,1515,-3.2942166219182485,symbol
Hypoxia,CCNG2,901,5689,7.325840669282846,symbol
Hypoxia,QRSL1,55278,8109,-2.2452978076758083,symbol
Hypoxia,LOXL2,4017,9823,4.608767866597851,symbol
Hypoxia,DOLK,22845,11252,-3.464171671590372,symbol
Hypoxia,KDM4C,23081,10538,2.258150961667626,symbol
