idx,gene_symbol,entrez
709,CCDC163P,126661
710,MMACHC,25974
711,PRDX1,5052
712,AKR1A1,10327
713,NASP,4678
714,CCDC17,149483
715,GPBP1L1,60313
716,RPS15AP10,728963
717,TMEM69,51249
718,IPP,3652
719,MAST2,23139
720,PIK3R3,8503
721,LOC101929626,101929626
722,TSPAN1,10103
723,POMGNT1,55624
724,LURAP1,541468
725,RAD54L,8438
726,LRRC41,10489
727,UQCRH,7388
728,NSUN4,387338
729,FAAH,2166
730,FAAHP1,729041
731,LINC01398,101929651
732,DMBX1,127343
733,MKNK1-AS1,100507423
734,KNCN,148930
735,MKNK1,8569
736,MOB3C,148932
737,ATPAF1,64756
738,TEX38,374973
739,EFCAB14-AS1,100130197
740,EFCAB14,9813
741,CYP4B1,1580
742,CYP4Z2P,163720
743,CYP4A11,1579
744,CYP4X1,260293
745,CYP4Z1,199974
746,CYP4A22,284541
747,LINC00853,100874253
748,PDZK1IP1,10158
749,TAL1,6886
750,STIL,6491
751,CMPK1,51727
752,LINC01389,102724077
753,FOXE3,2301
754,FOXD2-AS1,84793
755,FOXD2,2306
756,TRABD2B,388630
757,SKINTL,391037
758,SLC5A9,200010
759,SPATA6,54558
760,AGBL4,84871
761,BEND5,79656
762,LOC101929721,101929721
763,AGBL4-IT1,100874313
764,ELAVL4,1996
765,DMRTA2,63950
766,FAF1,11124
767,CDKN2C,1031
768,C1orf185,284546
769,RNF11,26994
770,TTC39A,22996
771,TTC39A-AS1,102724097
772,EPS15,2060
773,OSBPL9,114883
774,NRDC,4898
775,RAB3B,5865
776,TXNDC12,51060
777,KTI12,112970
778,TXNDC12-AS1,104355143
779,BTF3L4,91408
780,ZFYVE9,9372
781,CC2D1B,200014
782,ORC1,4998
783,PRPF38A,84950
784,ZCCHC11,23318
785,GPX7,2882
786,FAM159A,348378
787,COA7,65260
788,ZYG11B,79699
789,ZYG11A,440590
790,ECHDC2,55268
791,SCP2,6342
792,PODN,127435
793,SLC1A7,6512
794,CPT2,1376
795,C1orf123,54987
796,MAGOH,4116
797,LOC100507564,100507564
798,LRP8,7804
799,LOC105378732,105378732
800,SLC25A3P1,163742
801,DMRTB1,63948
802,GLIS1,148979
803,NDC1,55706
804,YIPF1,54432
805,DIO1,1733
806,HSPB11,51668
807,LRRC42,115353
808,LDLRAD1,388633
809,TMEM59,9528
810,TCEANC2,127428
811,CDCP2,200008
812,CYB5RL,606495
813,MRPL37,51253
814,SSBP3,23648
815,C1orf191,619518
816,ACOT11,26027
817,FAM151A,338094
818,MROH7,374977
819,MROH7-TTC4,100527960
820,TTC4,7268
821,PARS2,25973
822,TTC22,55001
823,LEXM,163747
824,DHCR24,1718
825,TMEM61,199964
826,BSND,7809
827,PCSK9,255738
828,USP24,23358
829,LOC100507634,100507634
830,PLPP3,8613
831,PRKAA2,5563
832,C1orf168,199920
833,C8A,731
834,C8B,732
835,DAB1,1600
836,DAB1-AS1,101926890
837,OMA1,115209
838,TACSTD2,4070
839,MYSM1,114803
840,JUN,3725
841,LINC01135,100131060
842,LINC01358,101926925
843,HSD52,729467
844,FGGY,55277
845,LOC101926944,101926944
846,HOOK1,51361
847,CYP2J2,1573
848,C1orf87,127795
849,LOC101926964,101926964
850,LOC100996570,100996570
851,NFIA,4774
852,LOC645030,645030
853,MGC34796,414927
854,TM2D1,83941
855,INADL,10207
856,L1TD1,54596
857,KANK4,163782
858,USP1,7398
859,DOCK7,85440
860,ANGPTL3,27329
861,ATG4C,84938
862,LINC00466,199899
863,LOC100996301,100996301
864,FOXD3,27022
865,ALG6,29929
866,ITGB3BP,23421
867,EFCAB7,84455
868,DLEU2L,79469
869,PGM1,5236
870,ROR1,4919
871,ROR1-AS1,101927034
872,UBE2U,148581
873,CACHD1,57685
874,RAVER2,55225
875,JAK1,3716
876,LINC01359,101927084
877,AK4,205
878,DNAJC6,9829
879,LEPROT,54741
880,LEPR,3953
881,PDE4B,5142
882,LOC101927139,101927139
883,SGIP1,84251
884,TCTEX1D1,200132
885,INSL5,10022
886,WDR78,79819
887,MIER1,57708
888,SLC35D1,23169
889,C1orf141,400757
890,IL23R,149233
891,IL12RB2,3595
892,SERBP1,26135
893,GADD45A,1647
894,GNG12,55970
895,GNG12-AS1,100289178
896,DIRAS3,9077
897,WLS,79971
898,RPE65,6121
899,DEPDC1,55635
900,DEPDC1-AS1,101927220
901,LRRC7,57554
902,PIN1P1,5301
903,LRRC40,55631
904,SRSF11,9295
905,ANKRD13C,81573
906,HHLA3,11147
907,CTH,1491
908,LOC101927244,101927244
909,PTGER3,5733
910,ZRANB2-AS1,100132618
911,ZRANB2,9406
912,ZRANB2-AS2,100852410
913,NEGR1,257194
914,LINC01360,101927295
915,LRRIQ3,127255
916,FPGT,8790
917,FPGT-TNNI3K,100526835
918,TNNI3K,51086
919,ERICH3,127254
920,ERICH3-AS1,101927320
921,CRYZ,1429
922,TYW3,127253
923,LHX8,431707
924,SLC44A5,204962
925,ACADM,34
926,DLSTP1,1744
927,RABGGTB,5876
928,MSH4,4438
929,ASB17,127247
930,LOC101927342,101927342
931,ST6GALNAC3,256435
932,ST6GALNAC5,81849
933,PIGK,10026
934,AK5,26289
935,ZZZ3,26009
936,USP33,23032
937,FAM73A,374986
938,NEXN-AS1,374987
939,NEXN,91624
940,FUBP1,8880
941,DNAJB4,11080
942,GIPC2,54810
943,MGC27382,149047
944,PTGFR,5737
945,IFI44L,10964
946,IFI44,10561
947,ADGRL4,64123
948,LOC101927412,101927412
949,LOC101927434,101927434
950,ADGRL2,23266
951,LINC01361,101927498
952,LOC101927587,101927587
953,LOC101927560,101927560
954,TTLL7,79739
955,PRKACB,5567
956,SAMD13,148418
957,UOX,391051
958,DNASE2B,58511
959,RPF1,80135
960,GNG5,2787
961,SPATA1,100505741
962,CTBS,1486
963,LINC01461,103695366
964,LINC01555,439927
965,SSX2IP,117178
966,LPAR3,23566
967,MCOLN2,255231
968,MCOLN3,55283
969,WDR63,126820
970,SYDE2,84144
971,C1orf52,148423
972,BCL10,8915
973,LOC646626,646626
974,DDAH1,23576
975,CYR61,3491
976,ZNHIT6,54680
977,COL24A1,255631
978,ODF2L,57489
979,CLCA2,9635
980,CLCA1,1179
981,CLCA4,22802
982,CLCA3P,9629
983,SH3GLB1,51100
984,SEP15,9403
985,HS2ST1,9653
986,LINC01140,339524
987,LOC101927844,101927844
988,LMO4,8543
989,LINC01364,100505768
990,PKN2-AS1,101927891
991,PKN2,5586
992,GTF2B,2959
993,CCBL2,56267
994,RBMXL1,494115
995,GBP3,2635
996,GBP1,2633
997,GBP2,2634
998,GBP7,388646
999,GBP4,115361
1000,GBP5,115362
1001,LOC729930,729930
1002,GBP6,163351
1003,GBP1P1,400759
1004,LRRC8B,23507
1005,FLJ27354,400761
1006,LRRC8C,84230
1007,LRRC8D,55144
1008,GEMIN8P4,492303
1009,ZNF326,284695
1010,BARHL2,343472
1011,ZNF644,84146
1012,HFM1,164045
1013,CDC7,8317
1014,TGFBR3,7049
1015,BRDT,676
1016,EPHX4,253152
1017,SETP18,646817
1018,BTBD8,284697
1019,KIAA1107,23285
1020,C1orf146,388649
1021,GLMN,11146
1022,RPAP2,79871
1023,GFI1,2672
1024,EVI5,7813
1025,RPL5,6125
1026,FAM69A,388650
1027,SNORA66,26782
1028,MTF2,22823
1029,TMED5,50999
1030,CCDC18,343099
1031,CCDC18-AS1,100131564
1032,DR1,1810
1033,FNBP1L,54874
1034,BCAR3,8412
1035,LOC100129046,100129046
1036,DNTTIP2,30836
1037,GCLM,2730
1038,ABCA4,24
1039,ARHGAP29,9411
1040,ABCD3,5825
1041,F3,2152
1042,LINC01057,101928079
1043,SLC44A3,126969
1044,CNN3,1266
1045,LOC729970,729970
1046,ALG14,199857
1047,TMEM56,148534
1048,TMEM56-RWDD3,100527978
1049,LOC101928118,101928118
1050,RWDD3,25950
1051,FLJ31662,440594
1052,LOC100996635,100996635
1053,LOC102723661,102723661
1054,LOC101928241,101928241
1055,PTBP2,58155
1056,DPYD,1806
1057,DPYD-AS1,100873932
1058,DPYD-AS2,100873933
1059,MIR137HG,400765
1060,MIR2682,100616452
1061,LOC729987,729987
1062,SNX7,51375
1063,PLPPR5,163404
1064,LOC100129620,100129620
1065,PLPPR4,9890
1066,PALMD,54873
1067,FRRS1,391059
1068,AGL,178
1069,SLC35A3,23443
1070,MFSD14A,64645
1071,SASS6,163786
1072,TRMT13,54482
1073,LRRC39,127495
1074,DBT,1629
1075,LOC100506007,100506007
1076,RTCA,8634
1077,CDC14A,8556
1078,GPR88,54112
1079,VCAM1,7412
1080,EXTL2,2135
1081,SLC30A7,148867
1082,DPH5,51611
1083,LOC102606465,102606465
1084,LOC101928370,101928370
1085,S1PR1,1901
1086,LINC01307,104355286
1087,OLFM3,118427
1088,DNAJA1P5,94236
1089,COL11A1,1301
1090,LOC101928436,101928436
1091,RNPC3,55599
1092,AMY2B,280
1093,ACTG1P4,648740
1094,AMY2A,279
1095,AMY1A,276
1096,AMY1B,277
1097,AMY1C,278
1098,LOC100129138,100129138
1099,PRMT6,55170
1100,NTNG1,22854
1101,VAV3,10451
1102,VAV3-AS1,100873946
1103,SLC25A24,29957
1104,NBPF4,148545
1105,NBPF6,653149
1106,FAM102B,284611
1107,HENMT1,113802
1108,PRPF38B,55119
1109,FNDC7,163479
1110,STXBP3,6814
1111,AKNAD1,254268
1112,SPATA42,642864
1113,GPSM2,29899
1114,CLCC1,23155
1115,WDR47,22911
1116,TAF13,6884
1117,TMEM167B,56900
1118,SCARNA2,677766
1119,C1orf194,127003
1120,KIAA1324,57535
1121,SARS,6301
1122,CELSR2,1952
1123,PSRC1,84722
1124,MYBPHL,343263
1125,SORT1,6272
1126,PSMA5,5686
1127,SYPL2,284612
1128,ATXN7L2,127002
1129,CYB561D1,284613
1130,AMIGO1,57463
1131,GPR61,83873
1132,GNAI3,2773
1133,GNAT2,2780
1134,AMPD2,271
1135,GSTM4,2948
1136,GSTM2,2946
1137,GSTM1,2944
1138,GSTM5,2949
1139,GSTM3,2947
1140,EPS8L3,79574
1141,CSF1,1435
1142,AHCYL1,10768
1143,STRIP1,85369
1144,ALX3,257
1145,LINC01397,104355139
1146,UBL4B,164153
1147,SLC6A17,388662
1148,KCNC4-AS1,100873974
1149,KCNC4,3749
1150,LOC440600,440600
1151,RBM15,64783
1152,SLC16A4,9122
1153,LAMTOR5,10542
1154,LAMTOR5-AS1,101410535
1155,PROK1,84432
1156,CYMP,643160
1157,LOC440602,440602
1158,KCNA10,3744
1159,KCNA2,3737
1160,KCNA3,3738
1161,CD53,963
1162,LRIF1,55791
1163,DRAM2,128338
1164,CEPT1,10390
1165,DENND2D,79961
1166,CHI3L2,1117
1167,CHIAP2,149620
1168,CHIA,27159
1169,PIFO,128344
1170,PGCP1,441897
1171,OVGP1,5016
1172,WDR77,79084
1173,ATP5F1,515
1174,C1orf162,128346
1175,TMIGD3,57413
1176,ADORA3,140
1177,LINC01160,100129269
1178,RAP1A,5906
1179,FAM212B,55924
1180,FAM212B-AS1,100506343
1181,LOC101928718,101928718
1182,DDX20,11218
1183,KCND3,3752
1184,KCND3-IT1,100874295
1185,KCND3-AS1,100873995
1186,LOC643355,643355
1187,CTTNBP2NL,55917
1188,WNT2B,7482
1189,ST7L,54879
1190,CAPZA1,829
1191,MOV10,4343
1192,RHOC,389
1193,PPM1J,333926
1194,FAM19A3,284467
1195,LOC100996702,100996702
1196,SLC16A1,6566
1197,AKR7A2P1,246182
1198,LOC100506392,100506392
1199,LOC100996251,100996251
1200,LRIG2,9860
1201,LOC643441,643441
1202,MAGI3,260425
1203,PHTF1,10745
1204,RSBN1,54665
1205,AP4B1-AS1,100287722
1206,PTPN22,26191
1207,BCL2L15,440603
